"rfc","lda","knn"
0.326923077,0.566312997,0.374668435
0.309460654,0.564102564,0.369363395
0.324270557,0.571396994,0.361405836
0.32250221,0.559460654,0.377984085
0.315428824,0.557692308,0.363616269
0.323386384,0.561892131,0.372458002
0.317639257,0.565649867,0.366931919
0.326187845,0.577679558,0.373259669
0.316243094,0.566629834,0.372596685
0.310276243,0.558453039,0.381657459
